Not a bird,0.990865170955658,3082,177,3184,229
Mallard Male,0.9891021251678467,4287,890,4379,950
Mallard Male,0.9786044359207153,1904,1517,1992,1594
Mallard Female,0.9780840277671814,3876,2698,3960,2771
Mallard Male,0.9780824184417725,2589,1709,2685,1769
Not a bird,0.977774977684021,3370,1062,3422,1157
Not a bird,0.9758602380752563,2660,1555,2755,1609
Mallard Male,0.9756867289543152,2551,1856,2629,1936
Mallard Male,0.9711543321609497,4023,2416,4119,2496
Mallard Male,0.9706341028213501,3735,2429,3805,2521
Not a bird,0.9702454209327698,2517,2004,2569,2094
Shoveler_Male,0.9688950181007385,1768,2208,1829,2298
Mallard Male,0.968461275100708,2465,2752,2569,2813
Not a bird,0.9666457772254944,2275,1805,2338,1897
Mallard Male,0.9661611318588257,2259,2307,2359,2379
Mallard Male,0.9639843106269836,3765,1375,3870,1439
Mallard Male,0.9633725881576538,4104,453,4207,517
Mallard Male,0.9623939990997314,4393,1703,4474,1792
Not a bird,0.9623199105262756,5043,118,5154,179
Mallard Male,0.9622552394866943,3735,814,3815,888
Mallard Male,0.9610670208930969,1921,2101,1983,2213
Not a bird,0.9610602855682373,2402,1438,2471,1522
Mallard Female,0.9603360891342163,3401,1837,3489,1908
Not a bird,0.9600647687911987,2317,1645,2399,1729
Mallard Male,0.9598238468170166,4600,557,4678,652
Mallard Male,0.9594728946685791,4698,129,4810,200
Not a bird,0.9579874873161316,3168,1033,3220,1129
Mallard Male,0.9554629325866699,3098,10,3198,65
Not a bird,0.9526090025901794,4220,383,4322,442
Mallard Male,0.9523100852966309,2068,2396,2160,2469
Mallard Male,0.9520662426948547,3899,940,3990,1017
Mallard Female,0.9503645896911621,3214,2195,3288,2267
Not a bird,0.9480055570602417,3334,1071,3385,1159
Mallard Male,0.9476858377456665,2208,2710,2274,2824
Not a bird,0.9474359154701233,2018,2438,2085,2528
Mallard Male,0.947414755821228,3254,1015,3314,1113
Not a bird,0.9462011456489563,4491,926,4585,998
Mallard Male,0.9461843967437744,1794,2804,1872,2900
Shoveler_Male,0.9459813833236694,2031,2684,2097,2779
Not a bird,0.9429991245269775,4347,1848,4421,1932
Mallard Male,0.9387218356132507,3903,6,4011,77
Not a bird,0.937324047088623,4241,595,4336,661
Not a bird,0.9336416721343994,3024,2023,3078,2113
Not a bird,0.9315013885498047,2646,711,2710,767
Mallard Male,0.9285497665405273,4279,66,4389,127
Not a bird,0.9278769493103027,4493,1821,4570,1918
Mallard Male,0.9255334734916687,3394,2021,3468,2123
Mallard Male,0.9185665845870972,3516,1079,3615,1153
Mallard Female,0.9185343980789185,1873,2683,1953,2775
Not a bird,0.9173511862754822,4713,728,4777,812
Mallard Male,0.9163815379142761,4204,124,4302,191
Mallard Male,0.9153105616569519,3826,2222,3895,2344
Mallard Male,0.9144783020019531,4622,862,4716,949
Not a bird,0.9110392332077026,1566,2862,1642,2954
Mallard Male,0.9054073095321655,4081,834,4175,904
Mallard Male,0.9021705389022827,3299,1604,3394,1708
Unknown,0.9000341296195984,3624,2138,3682,2251
Mallard Male,0.8859440088272095,3512,2009,3580,2122
Not a bird,0.8790005445480347,3734,1220,3821,1269
Mallard Male,0.8763983249664307,5386,705,5470,788
Not a bird,0.8173665404319763,3964,706,4038,785
Not a bird,0.7537599205970764,3493,362,3535,436
Not a bird,0.748469352722168,276,1771,314,1824
Not a bird,0.7481508255004883,3848,87,3909,156
Mallard Male,0.735206127166748,4514,235,4633,309
Not a bird,0.7262567281723022,322,1220,386,1265
Not a bird,0.714091420173645,945,2176,1004,2262
Not a bird,0.6184946298599243,1483,1166,1580,1261
Not a bird,0.45205941796302795,5447,473,5477,547
Not a bird,0.429877907037735,270,948,328,1003
Not a bird,0.4027949571609497,3864,394,3977,458
Not a bird,0.39782968163490295,3979,1702,4028,1743
Not a bird,0.37347888946533203,2462,2457,2529,2540
